City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,Tiznit,MA,86.23,broken clouds,29.58,-9.5,
594,Lake City,US,83.62,scattered clouds,30.19,-82.64,Ramada Limited Lake City
596,Colares,PT,76.33,scattered clouds,38.8,-9.45,Arribas Sintra Hotel
598,Addison,US,89.1,few clouds,41.93,-87.99,SpringHill Suites by Marriott Chicago Elmhurst/Oakbrook Area
599,Passi,PH,75.61,overcast clouds,11.15,122.65,Garden Pavillion
601,Helena,US,88.41,few clouds,46.59,-112.04,"Holiday Inn Express & Suites Helena, an IHG Hotel"
607,Prado,BR,76.96,scattered clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
610,Shenjiamen,CN,77.0,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
611,Nara,JP,79.92,light rain,34.69,135.8,Hotel Nikko Nara
613,Porbandar,IN,81.34,overcast clouds,21.64,69.61,Lords Inn Porbandar
618,Bokoro,TD,85.28,broken clouds,12.38,17.06,
619,Chau Doc,VN,78.6,moderate rain,10.7,105.12,JADE AND SAPPHIRE GUESTHOUSE
623,Nisia Floresta,BR,82.78,overcast clouds,-6.09,-35.21,Rancho Crepusculo
634,Palmer,US,76.68,moderate rain,42.16,-72.33,Wedgewood Motel
636,Pacific Grove,US,75.34,clear sky,36.62,-121.92,Lovers Point Inn
641,Barrhead,GB,81.75,clear sky,55.8,-4.39,The Gleniffer
643,Borujerd,IR,88.03,clear sky,33.9,48.75,Zagros Hotel
644,Chizhou,CN,77.59,overcast clouds,30.66,117.48,Home Inn Chizhou Qiupu West Road Xiushanmen Square
646,Temerloh,MY,77.34,heavy intensity rain,3.45,102.42,U Design Hotel Temerloh
647,Dakar,SN,86.13,scattered clouds,14.69,-17.44,Novotel Dakar
649,Roma,US,78.73,overcast clouds,43.21,-75.46,Wingate By Wyndham Rome
650,Port Hawkesbury,CA,87.89,scattered clouds,45.62,-61.35,MacKenzie House Tourist Home B&B
651,Taquarituba,BR,76.23,overcast clouds,-23.53,-49.24,Lady Laura Hotel
652,Scarborough,GB,88.34,scattered clouds,54.28,-0.4,The Grand Hotel Scarborough
654,Vaitape,PF,77.13,scattered clouds,-16.52,-151.75,Conrad Bora Bora Nui
655,Ugoofaaru,MV,81.73,overcast clouds,5.67,73.0,Ungoofaaru Inn
657,Pasighat,IN,77.02,overcast clouds,28.07,95.33,Siang Guest House
664,Carballo,ES,78.49,clear sky,43.21,-8.69,Pazo do Souto
665,Yinchuan,CN,76.73,overcast clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
666,Cortez,US,88.56,clear sky,37.35,-108.59,Sand Canyon National 9 Inn
667,Pumiao,CN,84.6,overcast clouds,22.75,108.48,Mushang Boutique Hotel
669,Ternate,ID,77.18,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
672,Meridian,US,82.53,clear sky,43.61,-116.39,Courtyard by Marriott Boise West/Meridian
673,Ca Mau,VN,78.6,overcast clouds,9.18,105.15,Mường Thanh Luxury Cà Mau Hotel
675,Manuk Mangkaw,PH,81.95,overcast clouds,4.8,119.85,
676,Kannangad,IN,78.04,overcast clouds,12.31,75.11,Hotel Landmark
677,Jega,NG,78.08,light rain,12.22,4.38,ALH. Nasiru Ibrahim
681,Novopavlovsk,RU,76.41,overcast clouds,43.96,43.63,Gostinyy Dvor
682,Mahon,ES,84.76,clear sky,39.89,4.27,ARTIEM Capri
684,Sao Lourenco,BR,82.42,scattered clouds,-22.12,-45.05,Alzira Plaza Hotel
685,Iquitos,PE,80.64,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
687,Pondicherry,IN,84.49,overcast clouds,11.93,79.83,Villa Shanti for food lovers
693,Kresek,ID,81.1,broken clouds,-6.13,106.38,Kamar aldi
